article_idx,pmid,title,bertopic_topic,display_label
228,24595071,Admixture mapping and subsequent fine-mapping suggests a biologically relevant and novel association on chromosome 11 for type 2 diabetes in African Americans.,0,0_cells_cell_abstract_title
229,24594704,Quantifying insulin sensitivity and entero-insular responsiveness to hyper- and hypoglycemia in ferrets.,0,0_cells_cell_abstract_title
230,24428614,Application of thermoresponsive PNIPAAM-b-PAMPTMA diblock copolymers in siRNA delivery.,4,4_abstract_title_cells_cell
231,24361362,Pigment-Epithelium Derived Factor (PEDF) and the human ovary: a role in the generation of ROS in granulosa cells.,2,2_cells_cancer_cell_expression
232,29751373,Genotype-based prevention of psychosis onset and schizophrenia: a personalized approach in a target population.,3,3_abstract_title_cells_cell
233,24637839,Nuclear function of Alus.,6,6_proteins_cell_protein_abstract
234,24593918,Fitting outbreak models to data from many small norovirus outbreaks.,7,7_title_abstract_cell_cells
235,24520299,"Effects of the myeloid cell nuclear differentiation antigen on the proliferation, apoptosis and migration of osteosarcoma cells.",4,4_abstract_title_cells_cell
236,24513131,Novel therapeutic strategies for lung disorders associated with airway remodelling and fibrosis.,1,1_abstract_title_cells_cell
237,24485058,"Selenium and selenocysteine: roles in cancer, health, and development.",6,6_proteins_cell_protein_abstract
238,24481705,"Nanotherapeutics--product development along the ""nanomaterial"" discussion.",8,8_abstract_title_biology_molecular
239,24468696,"Ribosome profiling: new views of translation, from single codons to genome scale.",6,6_proteins_cell_protein_abstract
240,24462717,Microcystin-LR affects properties of human epidermal skin cells crucial for regenerative processes.,5,5_abstract_title_cells_cancer
241,24458094,VGLL4 functions as a new tumor suppressor in lung cancer by negatively regulating the YAP-TEAD transcriptional complex.,4,4_abstract_title_cells_cell
242,24433041,"Minireview: More than just a hammer: ligand ""bias"" and pharmaceutical discovery.",6,6_proteins_cell_protein_abstract
243,24419968,From the selfish gene to selfish metabolism: revisiting the central dogma.,4,4_abstract_title_cells_cell
244,24418724,Molecular alterations and emerging targets in castration resistant prostate cancer.,3,3_abstract_title_cells_cell
245,24412091,Depletion of apoptosis signal-regulating kinase 1 prevents bile duct ligation-induced necroinflammation and subsequent peribiliary fibrosis.,5,5_abstract_title_cells_cancer
246,24405365,Different walls for rods and balls: the diversity of peptidoglycan.,7,7_title_abstract_cell_cells
247,24343663,DNAM-1 control of natural killer cells functions through nectin and nectin-like proteins.,5,5_abstract_title_cells_cancer
248,24341371,The private life of environmental bacteria: pollutant biodegradation at the single cell level.,1,1_abstract_title_cells_cell
249,24333694,Cortistatin attenuates inflammatory pain via spinal and peripheral actions.,1,1_abstract_title_cells_cell
250,24323902,Surveillance of the tumor mutanome by T cells during progression from primary to recurrent ovarian cancer.,4,4_abstract_title_cells_cell
251,24304466,Waist circumference and dual-energy X-ray absorptiometry measures of overall and central obesity are similarly associated with systemic oxidative stress in women.,0,0_cells_cell_abstract_title
252,24214028,Novel molecular pathways in Gorham disease: implications for treatment.,2,2_cells_cancer_cell_expression
253,24184201,Tamoxifen reduces P-gp-mediated multidrug resistance via inhibiting the PI3K/Akt signaling pathway in ER-negative human gastric cancer cells.,0,0_cells_cell_abstract_title
254,24170706,Message control in developmental transitions; deciphering chromatin's role using zebrafish genomics.,1,1_abstract_title_cells_cell
255,24158675,Efficient targeting of FATS at a common fragile site in mice through TALEN-mediated double-hit genome modification.,4,4_abstract_title_cells_cell
256,24157811,"One mouse, one patient paradigm: New avatars of personalized cancer therapy.",2,2_cells_cancer_cell_expression
257,24027047,"Liver-specific knockout of GRP94 in mice disrupts cell adhesion, activates liver progenitor cells, and accelerates liver tumorigenesis.",4,4_abstract_title_cells_cell
258,24018851,Very small embryonic-like stem cells (VSELs) represent a real challenge in stem cell biology: recent pros and cons in the midst of a lively debate.,0,0_cells_cell_abstract_title
259,23808572,Preclinical safety evaluation of human platelets treated with antimicrobial peptides in severe combined immunodeficient mice.,11,11_patients_study_95_risk
260,23613359,Roles of Chk1 in cell biology and cancer therapy.,3,3_abstract_title_cells_cell
261,23270606,Synaptic retinoic acid signaling and homeostatic synaptic plasticity.,1,1_abstract_title_cells_cell
262,24587346,On the formation of lipid droplets in human adipocytes: the organization of the perilipin-vimentin cortex.,6,6_proteins_cell_protein_abstract
263,24586762,Effects of β-lactam antibiotics and fluoroquinolones on human gut microbiota in relation to Clostridium difficile associated diarrhea.,1,1_abstract_title_cells_cell
264,24406984,FLow-induced PRotrusions (FLIPRs): a platelet-derived platform for the retrieval of microparticles by monocytes and neutrophils.,2,2_cells_cancer_cell_expression
265,24084047,Distinct pharmacology and metabolism of K2 synthetic cannabinoids compared to Δ(9)-THC: mechanism underlying greater toxicity?,4,4_abstract_title_cells_cell
266,24586129,Escherichia coli peptidoglycan structure and mechanics as predicted by atomic-scale simulations.,0,0_cells_cell_abstract_title
267,24558404,Impact on pregnancies in south Brazil from the influenza A (H1N1) pandemic: cohort study.,9,9_sarscov2_virus_viral_covid19
268,24456854,The environmental release and fate of antibiotics.,8,8_abstract_title_biology_molecular
269,24336807,ORCA: a COBRA toolbox extension for model-driven discovery and analysis.,0,0_cells_cell_abstract_title
270,24333390,HDL-cholesterol in coronary artery disease risk: function or structure?,1,1_abstract_title_cells_cell
271,24321754,Differences in neuronal damage and gliosis in the hippocampus between young and adult gerbils induced by long duration of transient cerebral ischemia.,2,2_cells_cancer_cell_expression
272,23983213,New virulence determinants contribute to the enhanced immune response and reduced virulence of an influenza A virus A/PR8/34 variant.,0,0_cells_cell_abstract_title
273,24592260,SecA is required for membrane targeting of the cell division protein DivIVA in vivo.,8,8_abstract_title_biology_molecular
274,24592210,Neuron-specific regulation of class I PI3K catalytic subunits and their dysfunction in brain disorders.,5,5_abstract_title_cells_cancer
275,24379390,Recursive genomewide recombination and sequencing reveals a key refinement step in the evolution of a metabolic innovation in Escherichia coli.,0,0_cells_cell_abstract_title
276,24462769,Gβγ interacts with mTOR and promotes its activation.,0,0_cells_cell_abstract_title
277,24335980,Evolutionary inevitability of sexual antagonism.,3,3_abstract_title_cells_cell
278,24516683,Zika virus in Gabon (Central Africa)--2007: a new threat from Aedes albopictus?,9,9_sarscov2_virus_viral_covid19
279,24255918,Polyphosphate amplifies proinflammatory responses of nuclear proteins through interaction with receptor for advanced glycation end products and P2Y1 purinergic receptor.,2,2_cells_cancer_cell_expression
280,24366125,Space in the brain: how the hippocampal formation supports spatial cognition.,6,6_proteins_cell_protein_abstract
281,24449877,CLE-CLAVATA1 peptide-receptor signaling module regulates the expansion of plant root systems in a nitrogen-dependent manner.,4,4_abstract_title_cells_cell
282,24518975,Behaviour of human induced pluripotent stem cell-derived neural progenitors on collagen scaffolds varied in freezing temperature and laminin concentration.,2,2_cells_cancer_cell_expression
283,24498325,Bone marrow-specific knock-in of a non-activatable Ikkα kinase mutant influences haematopoiesis but not atherosclerosis in Apoe-deficient mice.,2,2_cells_cancer_cell_expression
284,24370835,Inhibition of ataxia telangiectasia mutated (ATM) kinase suppresses herpes simplex virus type 1 (HSV-1) keratitis.,9,9_sarscov2_virus_viral_covid19
285,25384139,Pathogenesis and molecular biology of a transmissible tumor in the Tasmanian devil.,9,9_sarscov2_virus_viral_covid19
286,24637751,Preparation of crystals for characterizing the Grb7 SH2 domain before and after complex formation with a bicyclic peptide antagonist.,3,3_abstract_title_cells_cell
287,24565587,Small cell lung cancer: therapies and targets.,5,5_abstract_title_cells_cancer
288,24560816,Is this the real time for genomics?,3,3_abstract_title_cells_cell
289,24556396,"MAITs, MR1 and vitamin B metabolites.",2,2_cells_cancer_cell_expression
290,24534471,"Molecular biology in medical oncology: diagnosis, prognosis, and precision medicine.",7,7_title_abstract_cell_cells
291,24532213,"exo-Brevicomin biosynthesis in the fat body of the mountain pine beetle, Dendroctonus ponderosae.",4,4_abstract_title_cells_cell
292,24531479,Identification of the first small-molecule ligand of the neuronal receptor sortilin and structure determination of the receptor-ligand complex.,3,3_abstract_title_cells_cell
293,24529246,Single cell pattern formation and transient cytoskeletal arrays.,6,6_proteins_cell_protein_abstract
294,24481312,"PI3K and cancer: lessons, challenges and opportunities.",3,3_abstract_title_cells_cell
295,24481042,Methyltransferases modulate RNA stability in embryonic stem cells.,6,6_proteins_cell_protein_abstract
296,24470405,Wrestling with stress: roles of protein SUMOylation and deSUMOylation in cell stress response.,5,5_abstract_title_cells_cancer
297,24463090,Boron increases the cell viability of mesenchymal stem cells after long-term cryopreservation.,3,3_abstract_title_cells_cell
298,24458040,Inhibition of sepsis-induced inflammatory response by β1-adrenergic antagonists.,2,2_cells_cancer_cell_expression
299,24457416,Paediatric and adult glioblastoma: multiform (epi)genomic culprits emerge.,2,2_cells_cancer_cell_expression
300,24445046,Early biomarkers identified in a rat model of a healthier phenotype based on early postnatal dietary intervention may predict the response to an obesogenic environment in adulthood.,0,0_cells_cell_abstract_title
301,24443419,"Early divergence, broad distribution, and high diversity of animal chitin synthases.",7,7_title_abstract_cell_cells
302,24435092,"The emerging molecular architecture of schizophrenia, polygenic risk scores and the clinical implications for GxE research.",0,0_cells_cell_abstract_title
303,24411565,The role of SATB2 in skeletogenesis and human disease.,0,0_cells_cell_abstract_title
304,24411104,Stuck in traffic: an emerging theme in diseases of the nervous system.,3,3_abstract_title_cells_cell
305,24401372,Efficient RNA/Cas9-mediated genome editing in Xenopus tropicalis.,1,1_abstract_title_cells_cell
306,24388609,Molecular neuroanatomy: a generation of progress.,6,6_proteins_cell_protein_abstract
307,24371328,Targeting the hypoxia-sensing pathway in clinical hematology.,1,1_abstract_title_cells_cell
308,24369963,Sensing the marine environment using different animal models and levels of complexity.,8,8_abstract_title_biology_molecular
309,24369758,At the end of the autophagic road: an emerging understanding of lysosomal functions in autophagy.,6,6_proteins_cell_protein_abstract
310,24344199,Regulation of the follistatin gene by RSPO-LGR4 signaling via activation of the WNT/β-catenin pathway in skeletal myogenesis.,0,0_cells_cell_abstract_title
